
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,
1.0170,0.8331,0.2736,0.6061,0.6921,-0.6088,0.8573,-0.1343,-0.0134,0.6974,633.9600,-861.3000,-1836.5399,26.0000,
2.0140,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
3.0140,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
4.0160,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
5.2730,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
6.2750,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
7.2770,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
8.2770,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
9.2770,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
10.2760,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
11.2780,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
12.2780,0.9238,0.0992,0.5683,0.6524,-2.1521,0.6684,0.6873,-1.6823,1.2136,631.2000,-860.9400,-1837.1400,26.0000,
