
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,
1.0250,-0.0454,0.3281,0.8490,-0.5783,0.2102,-1.0187,0.0154,0.4074,0.6974,662.3400,-867.7800,-1829.3400,171.0000,
2.0260,0.0332,0.3970,0.8864,-0.0702,0.2157,-0.4098,0.1033,-0.1289,-0.1749,665.7600,-870.6000,-1829.3999,119.0000,
3.0250,0.1368,0.5280,0.8707,0.5674,0.6999,-0.1590,-0.0671,0.0452,0.0541,657.1800,-876.9000,-1824.2999,68.0000,
4.0200,-0.1959,0.4566,0.8206,-1.3578,-0.2973,-0.6029,-0.0091,-0.7318,-0.8041,682.9200,-878.4600,-1817.7600,136.0000,
5.0210,0.1683,0.5844,0.7916,1.1559,0.3176,-0.3827,0.6409,0.1417,0.2844,694.6200,-878.1600,-1815.4199,76.0000,
6.0210,0.0244,0.5297,0.8426,-0.0218,-1.0565,0.6618,-0.3450,-0.3842,-0.2757,696.7800,-870.5400,-1792.1400,102.0000,
7.0220,0.0425,0.6562,0.7596,-0.1965,0.3627,-0.1855,-0.2223,-0.2975,-0.6227,714.4200,-831.6000,-1798.6200,88.0000,
8.0230,0.0337,0.5844,0.8285,-0.1098,-0.5233,0.6527,0.1247,-1.1967,-1.3557,707.3400,-805.5600,-1823.2799,50.0000,
9.0220,-0.0601,0.6628,0.7481,-1.2930,0.2543,-0.2692,0.0013,-0.4966,-0.8530,604.3200,-815.0400,-1836.8400,58.0000,
10.0240,0.0000,0.6184,0.8407,-0.1574,-0.7564,1.2125,-0.1899,0.0018,0.6589,597.2400,-827.2200,-1832.5800,75.0000,
11.0250,-0.0909,0.7156,0.6706,-0.1570,0.3884,-0.7462,-0.0213,0.7679,0.4469,620.3400,-820.3200,-1861.6200,59.0000,
12.0230,-0.1121,0.6956,0.6159,0.5158,-0.3088,-0.5430,-0.1147,0.2468,0.5153,652.9200,-825.9000,-1857.7200,63.0000,
13.0240,-0.2477,0.7933,0.6868,-0.9293,1.1519,-0.2501,0.0600,-0.4288,-0.3063,657.3000,-824.4000,-1850.1000,41.0000,
14.0270,0.1124,0.8077,0.6188,1.1554,0.6310,-0.5190,-0.0549,0.4954,0.3394,656.5800,-825.6000,-1843.3199,54.0000,
15.0270,-0.1996,0.5925,0.7542,-0.6895,-0.8663,0.2805,-0.3939,0.6274,0.7682,673.2000,-825.9600,-1832.8199,64.0000,
16.0280,0.0989,0.7325,0.6274,0.5059,0.5098,-0.9616,0.0209,-0.1374,0.0230,677.2200,-835.0200,-1836.4199,46.0000,
