
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,
1.0280,1.1576,-0.0489,-0.5629,2.8077,-2.7365,-1.2499,0.2427,0.6672,2.4411,-31.9800,-49.6800,12.3000,13090.0000,
2.0250,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
3.0290,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
4.0300,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
5.0310,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
6.0300,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
7.0310,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
8.0310,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
9.0320,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
10.0390,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
11.0350,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
12.0380,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
13.0380,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
14.0400,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
15.0400,1.1353,-0.2487,-0.3824,2.2555,-3.0701,-0.4244,-1.3914,2.0306,1.9536,-36.9600,-44.8800,12.9600,13090.0000,
