
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,
1.0340,-0.0244,0.6005,0.6017,-0.7202,-0.2591,-1.7310,-0.2933,-0.1936,-0.0593,-5.8200,-35.6400,-65.1600,6.0000,
2.0540,-0.1532,0.8556,0.6142,-2.0143,1.4374,-0.8831,0.0910,-0.3243,-0.1333,-6.3600,-38.1600,-59.6400,9.0000,
3.0340,0.0501,0.6914,1.0909,-0.0914,0.2563,3.3878,-0.5058,-1.3719,-0.8235,-4.0200,-42.1800,-55.4400,31.0000,
4.0220,-0.1559,0.5099,0.9328,-1.5995,-0.2339,0.8465,-0.1479,0.1632,0.2278,16.2600,-47.5800,-53.7600,218.0000,
5.0230,0.2499,0.5991,0.5864,2.4517,-1.1441,-1.1066,-0.0336,-0.1643,-0.3990,0.4800,-51.8400,-47.7000,180.0000,
6.0240,-0.1114,0.5331,0.7835,-1.8359,-0.9787,0.5312,-0.1277,0.1803,0.1465,0.9000,-48.9000,-51.6000,25.0000,
7.0240,0.1683,0.7002,0.7803,0.7000,0.9085,-0.0873,-0.6665,-0.3268,0.7904,-5.1600,-37.6800,-57.0600,13.0000,
8.0240,0.0357,0.3765,0.7491,-0.4709,-1.5564,-0.7084,0.5558,0.4637,0.6645,-3.6000,-26.6400,-60.7800,5.0000,
9.0250,0.1153,0.5590,0.5197,1.0922,-1.0101,-2.2607,0.7825,0.4576,0.6358,8.2200,-22.9800,-64.9200,0.0000,
10.0260,-0.1244,0.6381,0.6741,-1.4717,-0.3841,-0.6084,0.1789,-0.1166,-0.5474,0.6000,-23.4600,-64.2600,2.0000,
11.0250,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
12.0260,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
13.0260,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
14.0260,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
15.0270,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
16.0270,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
17.0270,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
18.0280,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
19.0280,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
20.0280,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
21.0290,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
22.0300,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
23.0300,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
24.0300,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
25.0310,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
26.0320,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
27.0310,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
28.0310,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
29.0330,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
30.0320,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
31.0340,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
32.0330,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
33.0340,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
34.0340,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
35.0340,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
36.0350,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
37.0350,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
38.0350,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
39.0360,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
40.0370,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
41.0370,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
42.0730,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
43.1130,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
44.1570,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
45.1950,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
46.2230,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
47.2520,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
48.2570,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
49.2980,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
50.3410,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
51.3510,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
52.3650,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
53.3920,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
54.3950,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
55.4360,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
56.4680,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
57.4800,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
58.5200,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
59.5580,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
60.5980,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
61.6370,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
62.6770,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
63.7170,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
64.7580,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
65.7990,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
66.8370,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
67.8420,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
68.8700,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
69.9090,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
70.9390,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
71.9770,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
73.0020,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
74.0410,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
75.0810,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
76.1000,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
77.1300,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
78.1690,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
79.2090,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
80.2490,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
81.2890,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
82.3290,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
83.3700,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
84.4100,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
85.4330,-0.0132,0.5649,0.4525,-0.6682,-1.4955,-2.3808,0.6878,0.1204,0.6218,-1.6200,-22.2000,-66.1200,5.0000,
