
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
16:14:02:188,0.0662,0.6443,0.4075,-0.0067,-0.7231,-2.8052,0.6610,0.1445,-0.1704,
16:14:03:177,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:04:179,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:05:179,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:06:180,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:07:181,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:08:182,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:09:183,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:10:184,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:11:185,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:12:185,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:13:185,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:14:185,0.0867,0.8028,0.9157,0.7630,0.0224,3.0903,1.2737,0.4175,0.7618,
16:14:15:235,0.0867,0.8028,0.9157,-0.2378,2.3998,0.3134,-0.2865,-0.7230,-0.2871,
16:14:16:222,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:17:201,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:18:202,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:19:202,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:20:203,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:21:203,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:22:204,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:23:204,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:24:204,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:25:205,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:26:205,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:27:206,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:28:206,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:29:206,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:30:208,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:31:209,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:32:209,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:33:210,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:34:210,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:35:212,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:36:212,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:37:213,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:38:213,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:39:213,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
16:14:40:213,0.1417,0.6294,0.7210,0.2222,-0.2505,-0.2569,-0.4044,0.0565,0.4172,
