
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,
17:55:24:471,0.7654,-0.5397,-0.0674,1.0599,2.2391,-1.1985,-0.1589,1.2155,-0.0587,-11.2800,46.0800,14.4600,2099.0000,
17:55:25:473,0.5778,-0.9413,0.4432,-1.3976,-2.4586,3.6086,-0.9292,0.1581,1.9144,-19.4400,44.4000,8.8200,3349.0000,
17:55:26:479,0.5583,-0.8800,0.2277,-2.4753,-3.0080,1.0129,-0.6286,0.4898,-0.5370,-16.3200,45.0000,8.2800,1496.0000,
17:55:27:457,0.6140,-0.6841,0.1849,-1.0899,-0.3895,0.6778,0.6145,-0.5432,-1.4326,-7.8600,47.7600,9.6600,950.0000,
17:55:28:457,0.7742,-0.8500,0.3266,-0.2639,-2.0899,1.6711,2.3114,-1.5664,-1.9921,-14.2200,43.8600,16.3800,1170.0000,
17:55:29:457,0.6633,-0.8079,0.3037,0.4616,-0.2548,1.9868,0.8454,-0.3599,-1.5291,-2.1000,44.7600,20.8800,1155.0000,
17:55:30:458,1.2641,-0.6430,0.2717,8.1174,2.5247,2.8231,-0.6916,0.3408,0.7867,-0.9600,45.8400,21.6000,632.0000,
17:55:31:459,1.1302,-0.6521,0.1527,7.6288,2.7784,1.0257,0.1300,0.1496,0.3389,0.9600,46.8600,17.1600,460.0000,
17:55:32:459,0.9670,-0.8324,0.2543,5.5081,0.7450,1.4100,-0.8339,0.4074,2.3853,-8.8800,48.1200,12.0600,2975.0000,
17:55:33:459,0.6108,-0.8307,0.0261,0.3502,-0.2352,-1.1282,-1.0013,0.1514,2.1581,-21.9000,44.4000,8.5200,3272.0000,
17:55:34:459,0.4407,-0.4583,0.2995,-2.7425,2.0752,1.1524,-0.8076,0.8967,2.0988,-25.2600,41.4600,8.6400,2156.0000,
17:55:35:459,0.5475,-1.1348,0.0599,-2.6219,-5.7026,-1.1475,-0.6592,0.6187,-0.1168,-25.9800,41.8200,4.9200,2673.0000,
17:55:36:460,0.6137,-0.9440,0.2301,-1.9819,-3.6391,1.4008,-0.6231,0.4813,-1.2127,-16.6200,45.6600,6.0600,2322.0000,
17:55:37:460,0.5360,-0.7913,0.1393,-2.7548,-2.0941,0.1834,0.6927,-0.7001,-1.0636,-13.8000,46.9200,8.5800,1224.0000,
17:55:38:464,0.5179,-0.7852,0.1820,-2.7772,-1.9831,0.4155,1.3915,-1.0422,-1.6702,-10.9800,48.4800,8.8800,1198.0000,
17:55:39:460,0.5167,-0.9198,0.2844,-1.5723,-1.8841,1.6513,0.3408,-0.3269,-2.0605,-3.0600,47.5800,11.2800,527.0000,
17:55:40:463,0.9904,-0.7706,0.2016,4.5102,0.7262,1.1701,0.3145,-0.6409,-0.9323,2.3400,44.1000,16.4400,541.0000,
17:55:41:462,0.9159,-0.7540,0.0816,4.8690,1.4590,-0.2102,0.1948,0.1862,-0.2554,3.4200,45.0000,17.4000,495.0000,
17:55:42:465,0.9956,-0.7816,0.1803,6.1343,1.4114,0.8886,0.6780,-0.8162,1.9651,-5.7600,45.1800,19.4400,1772.0000,
17:55:43:464,0.5856,-0.6066,-0.0071,1.2455,3.0331,-1.2361,-0.9487,0.7189,1.1178,-8.9400,47.8200,13.3800,5321.0000,
17:55:44:464,0.5780,-0.6460,-0.0225,-1.0469,0.6138,-1.9232,-0.7148,1.0262,0.8081,-22.3800,44.4000,9.4200,5045.0000,
17:55:45:464,0.5028,-1.0034,0.1478,-3.0551,-4.3465,-0.0824,-1.0349,0.7366,-0.0294,-22.9200,41.4000,7.3800,6029.0000,
17:55:46:464,0.6648,-0.8803,0.1981,-1.5112,-3.0188,1.3884,-0.6567,0.3127,-2.1546,-11.5200,46.4400,7.7400,1230.0000,
17:55:47:464,0.6640,-0.9672,0.2309,-0.8249,-3.0798,1.0564,1.0799,-1.3086,-2.4710,-7.3200,46.9200,12.0000,1927.0000,
17:55:48:465,0.6364,-0.8957,0.2717,-0.2368,-1.5237,1.3807,1.4782,-1.2811,-1.6397,-1.5600,45.6600,19.3800,3079.0000,
17:55:49:466,0.9316,-0.8035,0.4478,4.6212,0.8198,3.8873,0.3341,-0.5523,-0.4509,2.7600,45.7800,20.5200,1106.0000,
17:55:50:467,0.8939,-0.7369,0.1285,5.7510,2.3278,-0.6112,-0.1064,-0.1455,0.6267,2.8200,47.1600,15.4200,5145.0000,
17:55:51:468,0.8421,-0.8913,0.3127,3.7897,0.1229,2.0677,-0.2933,0.7281,2.7293,-7.3200,46.1400,15.0600,7653.0000,
17:55:52:467,0.5546,-0.9328,0.0726,-0.4642,-1.4140,-0.5762,-1.5834,0.3512,0.4245,-17.8800,45.3000,12.8400,19148.0000,
17:55:53:467,0.1556,-0.6487,0.1820,-6.5491,-1.5254,0.7876,0.0433,0.7348,0.5784,-24.4800,43.8600,11.6400,9051.0000,
17:55:54:468,0.4351,-1.0034,0.1244,-3.9210,-4.6509,-0.3028,-0.1870,0.3341,-0.8736,-19.4400,45.1200,5.5200,4619.0000,
17:55:55:467,0.6086,-0.7659,0.1102,-1.6329,-1.4291,-0.1551,0.5858,-0.8132,-1.6256,-10.7400,48.1200,9.9600,1114.0000,
17:55:56:470,0.4593,-0.8470,0.3562,-1.9803,-1.2199,1.8643,0.7305,-1.2725,-1.4423,-3.4200,48.0000,16.5600,1361.0000,
17:55:57:470,1.0916,-0.9777,0.2800,7.6179,-0.9727,1.4650,0.1142,-0.1418,-0.2200,4.8600,47.1000,16.3200,410.0000,
17:55:58:470,0.8392,-0.8177,0.0701,4.0333,0.8172,-0.8833,-0.2389,-0.1235,1.6419,-6.6000,46.3800,16.0800,1304.0000,
17:55:59:470,0.5350,-0.7471,0.1329,-0.2758,0.6257,-0.2930,-1.2255,0.9284,0.9779,-14.7600,45.5400,11.1600,6307.0000,
17:56:00:472,0.5685,-0.5673,0.2917,-0.5114,1.9835,1.3515,0.0793,0.3652,1.5393,-16.6800,45.6600,13.2000,5479.0000,
17:56:01:473,0.4549,-1.0051,0.2639,-2.9837,-3.5359,1.6263,-0.6916,0.5222,-0.7032,-15.3600,48.0600,11.2800,1187.0000,
