
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
14:45:48:343,-0.1221,0.7693,0.8309,-1.6181,2.5348,0.2959,-0.4209,-0.5156,-0.6314,
14:45:49:344,0.8765,-0.8050,0.3401,2.4831,-0.1700,3.8446,-1.1618,0.5173,-0.4182,
14:45:50:342,1.0229,-0.6579,0.1400,4.6517,2.1039,1.4277,-1.1405,-0.0966,1.1590,
14:45:51:336,0.8875,-0.7593,0.1573,3.9076,0.9981,-0.0581,-1.8948,1.3945,1.1950,
14:45:52:336,0.8777,-0.6940,-0.0515,3.0230,1.2090,-1.7382,-0.2016,0.4245,2.3985,
14:45:53:336,0.9672,-0.6505,-0.1666,2.9808,0.5005,-2.5021,0.2810,0.8527,3.3942,
14:45:54:337,0.7752,-0.8558,0.0454,-0.7610,-4.1833,0.1725,1.2664,-1.2780,3.2769,
14:45:55:337,0.5401,-1.0715,0.3980,-5.1516,-7.3556,2.4444,-0.6664,-1.1980,4.1284,
14:45:56:337,0.1678,-0.8741,-0.0037,-7.6437,-8.0882,-2.7332,-1.0665,0.1435,1.3783,
14:45:57:337,0.2802,-1.0082,0.0411,-6.6431,-9.5519,-0.2951,-0.9328,1.1978,-0.3901,
14:45:58:338,0.3943,-0.8426,0.1326,-5.7849,-7.1614,-0.0977,-0.0177,0.3225,-0.7713,
14:45:59:338,0.3967,-0.8169,0.1275,-5.8257,-5.9459,0.5955,1.0959,-0.8700,-1.4207,
14:46:00:338,0.4881,-1.0551,0.2489,-4.0034,-8.9610,-1.4806,1.3830,3.1220,-3.4701,
14:46:01:338,-0.0318,0.5387,0.6227,0.0040,-1.0034,-1.8063,-0.7092,0.8062,0.6868,
14:46:02:339,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:03:339,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:04:341,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:05:341,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:06:341,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:07:342,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:08:342,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:09:343,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:10:345,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:11:346,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:12:346,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:13:346,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:14:346,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:15:346,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:16:350,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:17:351,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:18:351,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:19:355,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:20:352,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:21:353,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:22:353,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:23:354,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:24:354,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:25:354,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:26:354,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:27:356,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:28:356,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:29:356,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:30:357,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:31:358,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:32:357,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:33:358,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:34:358,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:35:358,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:36:358,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:37:358,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:38:359,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:39:360,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:40:360,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:41:361,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:42:361,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:43:361,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:44:362,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:45:362,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:46:363,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:47:364,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:48:364,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:49:364,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:50:365,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:51:365,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:52:365,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:53:366,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:54:365,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:55:366,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:56:368,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:57:369,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:58:368,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:46:59:368,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:00:368,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:01:368,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:02:369,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:03:369,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:04:369,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:05:370,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:06:370,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:07:370,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:08:372,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:09:371,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:10:372,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:11:372,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:47:12:372,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:49:35:372,0.0306,0.8377,1.0387,0.3193,1.4877,2.4168,0.2462,-0.6500,-0.0725,
14:49:36:443,-0.0689,0.6020,0.4588,-1.2576,-1.0464,-2.5542,-0.5111,-0.3231,-0.2393,
14:49:37:444,-0.0037,0.5507,0.7991,-0.7220,-0.8372,0.9454,0.5121,1.0520,0.2512,
